Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.002,0.003,0.001,0.7,0.01,282.522,253.388,245.8,101.5230638,8.580564625,7.177680452
0.002,0.003,0.001,0.7,0.09333333,280.446,250.252,238.61,100.4399441,8.352999517,9.277188665
0.002,0.003,0.001,0.7,0.17666667,279.117,248.152,234.02,99.72482206,8.266254461,10.58652983
0.002,0.003,0.001,0.7,0.25,278.093,246.645,230.94,99.21065594,8.213756381,11.42194721
0.002,0.003,0.25,0.7,0.01,282.192,253.092,245.58,101.4204803,8.582483154,7.139000039
0.002,0.003,0.25,0.7,0.09333333,279.839,249.627,238.13,100.2296919,8.387266123,9.210858943
0.002,0.003,0.25,0.7,0.17666667,278.333,247.327,233.4,99.44860209,8.31688488,10.50268902
0.002,0.003,0.25,0.7,0.25,277.148,245.651,230.21,98.87771798,8.278783031,11.30962342
0.002,0.003,0.5,0.7,0.01,281.877,252.792,245.35,101.3181556,8.591344213,7.102220433
0.002,0.003,0.5,0.7,0.09333333,279.248,249.015,237.63,100.0233048,8.415235035,9.166960427
0.002,0.003,0.5,0.7,0.17666667,277.537,246.486,232.79,99.16747589,8.37366303,10.40588776
0.002,0.003,0.5,0.7,0.25,276.198,244.659,229.48,98.54460957,8.339658607,11.19971596
0.002,0.003,0.75,0.7,0.01,281.576,252.501,245.13,101.2188196,8.601283983,7.068097321
0.002,0.003,0.75,0.7,0.09333333,278.653,248.391,237.17,99.81436051,8.454359526,9.099105231
0.002,0.003,0.75,0.7,0.17666667,276.771,245.646,232.2,98.88954897,8.444099214,10.30134297
0.002,0.003,0.75,0.7,0.25,275.286,243.678,228.76,98.21723981,8.411824776,11.09023082
0.002,0.003,0.999,0.7,0.01,281.261,252.207,244.93,101.118166,8.609166165,7.026241587
0.002,0.003,0.999,0.7,0.09333333,278.064,247.79,236.71,99.61135567,8.485190092,9.03615595
0.002,0.003,0.999,0.7,0.17666667,275.948,244.817,231.6,98.60889141,8.486460606,10.20147631
0.002,0.003,0.999,0.7,0.25,274.351,242.709,228.1,97.89178944,8.475949021,10.9592792
0.002,0.0175,0.001,0.7,0.01,282.543,253.407,245.83,101.530197,8.583059248,7.171414025
0.002,0.0175,0.001,0.7,0.09333333,280.474,250.292,238.69,100.4535859,8.355022142,9.25488453
0.002,0.0175,0.001,0.7,0.17666667,279.154,248.201,234.15,99.74245835,8.273375957,10.54793185
0.002,0.0175,0.001,0.7,0.25,278.138,246.72,231.08,99.23559384,8.21248148,11.3852758
0.002,0.0175,0.25,0.7,0.01,282.207,253.108,245.62,101.4264605,8.586567753,7.125980393
0.002,0.0175,0.25,0.7,0.09333333,279.872,249.661,238.22,100.2423435,8.394063823,9.187899446
0.002,0.0175,0.25,0.7,0.17666667,278.366,247.381,233.51,99.46655392,8.317643686,10.47328832
0.002,0.0175,0.25,0.7,0.25,277.195,245.71,230.36,98.89897778,8.286249594,11.26700537
0.002,0.0175,0.5,0.7,0.01,281.892,252.811,245.4,101.3249341,8.593731685,7.089373081
0.002,0.0175,0.5,0.7,0.09333333,279.282,249.055,237.7,100.0370722,8.417153832,9.152911066
0.002,0.0175,0.5,0.7,0.17666667,277.584,246.523,232.89,99.18246635,8.385831642,10.37796623
0.002,0.0175,0.5,0.7,0.25,276.24,244.733,229.59,98.56811353,8.333367061,11.17750045
0.002,0.0175,0.75,0.7,0.01,281.59,252.515,245.17,101.2244358,8.604934015,7.056292515
0.002,0.0175,0.75,0.7,0.09333333,278.696,248.432,237.25,99.82975934,8.461987764,9.07617765
0.002,0.0175,0.75,0.7,0.17666667,276.807,245.706,232.3,98.90915583,8.440970457,10.27907783
0.002,0.0175,0.75,0.7,0.25,275.345,243.74,228.87,98.23933183,8.415883206,11.06962716
0.002,0.0175,0.999,0.7,0.01,281.276,252.231,244.96,101.126013,8.607738609,7.020044705
0.002,0.0175,0.999,0.7,0.09333333,278.095,247.831,236.78,99.6255753,8.485976065,9.018811466
0.002,0.0175,0.999,0.7,0.17666667,275.997,244.862,231.73,98.6265596,8.501379878,10.1570677
0.002,0.0175,0.999,0.7,0.25,274.404,242.753,228.23,97.91000426,8.49269595,10.91411262
0.002,0.0591,0.001,0.7,0.01,282.59,253.458,245.94,101.5487601,8.591023939,7.140825037
0.002,0.0591,0.001,0.7,0.09333333,280.572,250.398,238.89,100.4916342,8.36576855,9.206238374
0.002,0.0591,0.001,0.7,0.17666667,279.252,248.356,234.45,99.7944822,8.273179284,10.46974422
0.002,0.0591,0.001,0.7,0.25,278.284,246.891,231.42,99.29602912,8.226625653,11.30143514
0.002,0.0591,0.25,0.7,0.01,282.255,253.16,245.72,101.4453945,8.592268068,7.100333791
0.002,0.0591,0.25,0.7,0.09333333,279.953,249.778,238.43,100.2819981,8.395460534,9.134510341
0.002,0.0591,0.25,0.7,0.17666667,278.482,247.512,233.77,99.5134968,8.330031527,10.40902095
0.002,0.0591,0.25,0.7,0.25,277.315,245.901,230.7,98.96237061,8.282140235,11.18280706
0.002,0.0591,0.5,0.7,0.01,281.94,252.864,245.5,101.3437811,8.59875654,7.066335276
0.002,0.0591,0.5,0.7,0.09333333,279.358,249.152,237.95,100.0723778,8.432112862,9.075712843
0.002,0.0591,0.5,0.7,0.17666667,277.68,246.696,233.18,99.23832461,8.375924043,10.30680632
0.002,0.0591,0.5,0.7,0.25,276.38,244.911,229.96,98.63077927,8.347056917,11.07855285
0.002,0.0591,0.75,0.7,0.01,281.634,252.568,245.28,101.2429574,8.609758834,7.029406883
0.002,0.0591,0.75,0.7,0.09333333,278.772,248.545,237.46,99.86752632,8.461396621,9.027994002
0.002,0.0591,0.75,0.7,0.17666667,276.921,245.849,232.57,98.95887543,8.448800745,10.21139649
0.002,0.0591,0.75,0.7,0.25,275.452,243.921,229.21,98.29950758,8.412853927,10.97825232
0.002,0.0591,0.999,0.7,0.01,281.323,252.274,245.06,101.1424864,8.618206406,6.990759932
0.002,0.0591,0.999,0.7,0.09333333,278.171,247.934,236.98,99.66112381,8.490976618,8.966879202
0.002,0.0591,0.999,0.7,0.17666667,276.11,245.01,232,98.67744272,8.504637599,10.09645419
0.002,0.0591,0.999,0.7,0.25,274.544,242.913,228.54,97.96679931,8.505764022,10.84089202
0.002,0.1503,0.001,0.7,0.01,282.701,253.579,246.16,101.5916994,8.602055399,7.091073746
0.002,0.1503,0.001,0.7,0.09333333,280.775,250.649,239.42,100.5802097,8.388920918,9.066200939
0.002,0.1503,0.001,0.7,0.17666667,279.517,248.688,235.1,99.91034326,8.294071806,10.30723567
0.002,0.1503,0.001,0.7,0.25,278.59,247.294,232.14,99.43399357,8.236131136,11.13211263
0.002,0.1503,0.25,0.7,0.01,282.365,253.271,245.95,101.485939,8.609089389,7.044140522
0.002,0.1503,0.25,0.7,0.09333333,280.151,250.015,238.91,100.3656233,8.415682603,9.014422433
0.002,0.1503,0.25,0.7,0.17666667,278.727,247.852,234.47,99.63061537,8.347598791,10.2214064
0.002,0.1503,0.25,0.7,0.25,277.628,246.283,231.43,99.09613196,8.307322417,11.00087974
0.002,0.1503,0.5,0.7,0.01,282.042,252.978,245.73,101.3846715,8.611882055,7.00752851
0.002,0.1503,0.5,0.7,0.09333333,279.548,249.382,238.45,100.1541819,8.457426433,8.939037362
0.002,0.1503,0.5,0.7,0.17666667,277.94,247.019,233.81,99.35158655,8.397525555,10.14716615
0.002,0.1503,0.5,0.7,0.25,276.676,245.294,230.72,98.76406896,8.369158879,10.8824711
0.002,0.1503,0.75,0.7,0.01,281.729,252.684,245.5,101.2837682,8.618305049,6.973959796
0.002,0.1503,0.75,0.7,0.09333333,278.974,248.781,237.96,99.95200339,8.488216146,8.894221368
0.002,0.1503,0.75,0.7,0.17666667,277.181,246.163,233.2,99.06971016,8.473760937,10.05228708
0.002,0.1503,0.75,0.7,0.25,275.738,244.304,230,98.43253887,8.43550297,10.76845781
0.002,0.1503,0.999,0.7,0.01,281.425,252.387,245.28,101.1828222,8.629711422,6.939401897
0.002,0.1503,0.999,0.7,0.09333333,278.365,248.167,237.47,99.74396856,8.514610371,8.836552108
0.002,0.1503,0.999,0.7,0.17666667,276.382,245.327,232.57,98.78881851,8.525282461,9.962835545
0.002,0.1503,0.999,0.7,0.25,274.823,243.306,229.25,98.10025468,8.510685768,10.66643775
0.002,0.32,0.001,0.7,0.01,282.901,253.802,246.6,101.6715055,8.625697199,6.983559628
0.002,0.32,0.001,0.7,0.09333333,281.156,251.101,240.37,100.7409658,8.435694729,8.816480421
0.002,0.32,0.001,0.7,0.17666667,279.991,249.298,236.34,100.1231403,8.33704077,9.979160287
0.002,0.32,0.001,0.7,0.25,279.14,248.03,233.61,99.68840908,8.273922377,10.7486831
0.002,0.32,0.25,0.7,0.01,282.566,253.49,246.37,101.5642281,8.632449677,6.944141213
0.002,0.32,0.25,0.7,0.09333333,280.517,250.471,239.86,100.5265795,8.456942549,8.758432844
0.002,0.32,0.25,0.7,0.17666667,279.193,248.444,235.7,99.83871434,8.395579257,9.888928344
0.002,0.32,0.25,0.7,0.25,278.188,247.022,232.86,99.35133965,8.340863972,10.63896546
0.002,0.32,0.5,0.7,0.01,282.234,253.191,246.15,101.4607614,8.635578209,6.904413394
0.002,0.32,0.5,0.7,0.09333333,279.904,249.842,239.37,100.314471,8.487680281,8.700101683
0.002,0.32,0.5,0.7,0.17666667,278.412,247.603,235.04,99.55796835,8.449380783,9.820111447
0.002,0.32,0.5,0.7,0.25,277.235,246.006,232.08,99.01158031,8.406878519,10.54105912
0.002,0.32,0.75,0.7,0.01,281.916,252.892,245.93,101.3585454,8.642958379,6.866136823
0.002,0.32,0.75,0.7,0.09333333,279.318,249.213,238.88,100.1046808,8.529111957,8.643062056
0.002,0.32,0.75,0.7,0.17666667,277.617,246.777,234.41,99.27989862,8.496124794,9.737850925
0.002,0.32,0.75,0.7,0.25,276.311,245.006,231.39,98.67968213,8.486844516,10.41342145
0.002,0.32,0.999,0.7,0.01,281.609,252.6,245.71,101.2585031,8.65098743,6.832736669
0.002,0.32,0.999,0.7,0.09333333,278.731,248.597,238.41,99.89845661,8.565391326,8.582714402
0.002,0.32,0.999,0.7,0.17666667,276.862,245.929,233.75,98.99968763,8.564585633,9.663130677
0.002,0.32,0.999,0.7,0.25,275.372,244.037,230.66,98.3529069,8.540964235,10.31045421
0.0148,0.003,0.001,0.7,0.01,276.35,244.322,230.77,98.50541485,8.755523036,10.48250129
0.0148,0.003,0.001,0.7,0.09333333,268.847,231.895,206.66,94.36391515,8.955835629,16.95140243
0.0148,0.003,0.001,0.7,0.17666667,263.744,224.095,192.62,91.75125376,9.194391711,20.50692375
0.0148,0.003,0.001,0.7,0.25,259.949,218.921,183.55,89.98499464,9.272341148,22.71934482
0.0148,0.003,0.25,0.7,0.01,274.488,242.584,229.79,97.91125571,8.839161142,10.11813679
0.0148,0.003,0.25,0.7,0.09333333,265.152,228.646,204.42,93.21334392,8.969018511,16.45061822
0.0148,0.003,0.25,0.7,0.17666667,258.771,219.868,189.8,90.23154147,9.159825505,19.79381612
0.0148,0.003,0.25,0.7,0.25,254.517,213.997,180.28,88.23911459,9.366149803,21.93580802
0.0148,0.003,0.5,0.7,0.01,272.586,240.983,228.85,97.34694203,8.846951684,9.770670323
0.0148,0.003,0.5,0.7,0.09333333,261.381,225.508,202.41,92.08554203,8.932006288,15.8557243
0.0148,0.003,0.5,0.7,0.17666667,254.231,215.858,187.23,88.80322919,9.2080643,19.08218212
0.0148,0.003,0.5,0.7,0.25,249.331,209.381,177.58,86.59472466,9.468578137,20.99809663
0.0148,0.003,0.75,0.7,0.01,270.898,239.414,228.02,96.81019609,8.929221385,9.412083589
0.0148,0.003,0.75,0.7,0.09333333,258.03,222.599,200.41,91.04688868,8.930220857,15.3934479
0.0148,0.003,0.75,0.7,0.17666667,249.925,212.251,184.69,87.4893954,9.139387849,18.52173013
0.0148,0.003,0.75,0.7,0.25,244.375,205.068,174.68,85.03463172,9.473667275,20.29536328
0.0148,0.003,0.999,0.7,0.01,269.243,237.857,227.21,96.27899483,9.021372702,9.048643768
0.0148,0.003,0.999,0.7,0.09333333,255.034,219.861,198.39,90.07791552,8.967311039,15.04580251
0.0148,0.003,0.999,0.7,0.17666667,245.984,208.726,182.13,86.2241748,9.161482115,18.04663544
0.0148,0.003,0.999,0.7,0.25,239.589,200.921,171.98,83.52878685,9.484265986,19.5667175
0.0148,0.0175,0.001,0.7,0.01,276.356,244.353,230.81,98.51429285,8.747725672,10.47463199
0.0148,0.0175,0.001,0.7,0.09333333,268.862,231.933,206.75,94.37616685,8.953942285,16.92254856
0.0148,0.0175,0.001,0.7,0.17666667,263.803,224.139,192.68,91.76832632,9.201143883,20.50119445
0.0148,0.0175,0.001,0.7,0.25,259.974,218.968,183.54,89.99848055,9.257114692,22.74089918
0.0148,0.0175,0.25,0.7,0.01,274.495,242.598,229.79,97.91527014,8.834079516,10.12447002
0.0148,0.0175,0.25,0.7,0.09333333,265.184,228.649,204.53,93.21914655,8.994263473,16.40256692
0.0148,0.0175,0.25,0.7,0.17666667,258.781,219.905,189.86,90.24259289,9.152251592,19.77723871
0.0148,0.0175,0.25,0.7,0.25,254.567,214.024,180.33,88.25121046,9.377508838,21.92543615
0.0148,0.0175,0.5,0.7,0.01,272.609,240.993,228.87,97.35179476,8.852992629,9.767335549
0.0148,0.0175,0.5,0.7,0.09333333,261.422,225.553,202.39,92.0994978,8.92044754,15.88743817
0.0148,0.0175,0.5,0.7,0.17666667,254.255,215.895,187.27,88.81501546,9.20325282,19.07749394
0.0148,0.0175,0.5,0.7,0.25,249.352,209.45,177.65,86.61475188,9.448786444,20.99265727
0.0148,0.0175,0.75,0.7,0.01,270.926,239.424,228.03,96.8151437,8.934828856,9.415170423
0.0148,0.0175,0.75,0.7,0.09333333,258.077,222.622,200.51,91.05858993,8.949719351,15.35854758
0.0148,0.0175,0.75,0.7,0.17666667,249.982,212.278,184.74,87.50215092,9.153777225,18.51339805
0.0148,0.0175,0.75,0.7,0.25,244.417,205.105,174.77,85.04917426,9.481474193,20.2704531
0.0148,0.0175,0.999,0.7,0.01,269.265,237.871,227.22,96.28431672,9.022915947,9.052657119
0.0148,0.0175,0.999,0.7,0.09333333,255.053,219.883,198.42,90.08538077,8.967232367,15.04161088
0.0148,0.0175,0.999,0.7,0.17666667,246.019,208.742,182.15,86.23175737,9.169415859,18.04633284
0.0148,0.0175,0.999,0.7,0.25,239.646,200.959,172.01,83.54411634,9.490195395,19.57084767
0.0148,0.0591,0.001,0.7,0.01,276.396,244.39,230.87,98.52770624,8.752358273,10.46184892
0.0148,0.0591,0.001,0.7,0.09333333,268.911,232.008,206.88,94.40097126,8.950464637,16.89441496
0.0148,0.0591,0.001,0.7,0.17666667,263.864,224.264,192.89,91.80805602,9.187113741,20.4489723
0.0148,0.0591,0.001,0.7,0.25,260.076,219.005,183.7,90.01964719,9.29649755,22.68815162
0.0148,0.0591,0.25,0.7,0.01,274.52,242.643,229.82,97.92868777,8.825132415,10.12685531
0.0148,0.0591,0.25,0.7,0.09333333,265.24,228.729,204.69,93.24694066,8.996734501,16.35574625
0.0148,0.0591,0.25,0.7,0.17666667,258.882,219.992,190.03,90.27623579,9.167301616,19.73647149
0.0148,0.0591,0.25,0.7,0.25,254.633,214.183,180.53,88.29964581,9.346271688,21.88760253
0.0148,0.0591,0.5,0.7,0.01,272.657,241.037,228.9,97.3669132,8.851793015,9.774724587
0.0148,0.0591,0.5,0.7,0.09333333,261.5,225.616,202.51,92.12387981,8.932480968,15.86372937
0.0148,0.0591,0.5,0.7,0.17666667,254.337,215.983,187.51,88.84859674,9.219538935,19.00200693
0.0148,0.0591,0.5,0.7,0.25,249.451,209.618,177.78,86.66717349,9.415421569,20.99775254
0.0148,0.0591,0.75,0.7,0.01,270.968,239.454,228.09,96.82717475,8.944593355,9.398994505
0.0148,0.0591,0.75,0.7,0.09333333,258.142,222.686,200.65,91.08283345,8.959810397,15.320878
0.0148,0.0591,0.75,0.7,0.17666667,250.067,212.351,184.84,87.52946651,9.160506791,18.50162415
0.0148,0.0591,0.75,0.7,0.25,244.568,205.183,174.93,85.08522169,9.519173483,20.23622696
0.0148,0.0591,0.999,0.7,0.01,269.296,237.907,227.3,96.29722008,9.02709375,9.033244286
0.0148,0.0591,0.999,0.7,0.09333333,255.085,219.957,198.57,90.10949967,8.963077371,14.9931493
0.0148,0.0591,0.999,0.7,0.17666667,246.084,208.804,182.4,86.25764592,9.19482825,17.95394685
0.0148,0.0591,0.999,0.7,0.25,239.829,201.095,172.19,83.59783791,9.512263421,19.55156653
0.0148,0.1503,0.001,0.7,0.01,276.476,244.484,231,98.55988294,8.751363329,10.44339297
0.0148,0.1503,0.001,0.7,0.09333333,269.084,232.182,207.12,94.46284665,8.957637827,16.85918844
0.0148,0.1503,0.001,0.7,0.17666667,264.054,224.528,193.2,91.89471249,9.16261547,20.41099567
0.0148,0.1503,0.001,0.7,0.25,260.349,219.305,184.23,90.12685105,9.310531215,22.56773856
0.0148,0.1503,0.25,0.7,0.01,274.619,242.745,229.98,97.9650989,8.832667217,10.09533886
0.0148,0.1503,0.25,0.7,0.09333333,265.386,228.902,205.15,93.3109057,9.023962468,16.21234669
0.0148,0.1503,0.25,0.7,0.17666667,259.036,220.214,190.5,90.35328088,9.172705702,19.5992662
0.0148,0.1503,0.25,0.7,0.25,254.87,214.409,181.16,88.38816396,9.398196475,21.68709962
0.0148,0.1503,0.5,0.7,0.01,272.712,241.116,229.09,97.3948122,8.85883741,9.718440224
0.0148,0.1503,0.5,0.7,0.09333333,261.654,225.801,202.78,92.18787784,8.931646194,15.81341588
0.0148,0.1503,0.5,0.7,0.17666667,254.444,216.173,187.9,88.91216133,9.213244374,18.88805692
0.0148,0.1503,0.5,0.7,0.25,249.63,209.83,178.14,86.74204625,9.419861304,20.91426313
0.0148,0.1503,0.75,0.7,0.01,271.011,239.544,228.18,96.85435147,8.926353549,9.395622216
0.0148,0.1503,0.75,0.7,0.09333333,258.211,222.886,200.86,91.14155764,8.911787508,15.29511202
0.0148,0.1503,0.75,0.7,0.17666667,250.156,212.472,185.23,87.5750743,9.183326095,18.36049463
0.0148,0.1503,0.75,0.7,0.25,244.779,205.357,175.47,85.15801841,9.57885849,20.05288256
0.0148,0.1503,0.999,0.7,0.01,269.374,238.004,227.4,96.32950311,9.021031205,9.024969947
0.0148,0.1503,0.999,0.7,0.09333333,255.215,220.154,198.89,90.17536409,8.952646055,14.92520648
0.0148,0.1503,0.999,0.7,0.17666667,246.24,208.996,182.72,86.32496004,9.195768387,17.88300366
0.0148,0.1503,0.999,0.7,0.25,240.146,201.191,172.62,83.6593009,9.638143092,19.41241288
0.0148,0.32,0.001,0.7,0.01,276.602,244.646,231.28,98.61527135,8.755201073,10.37984713
0.0148,0.32,0.001,0.7,0.09333333,269.429,232.545,207.66,94.59149948,8.97199926,16.76230609
0.0148,0.32,0.001,0.7,0.17666667,264.497,225.021,193.79,92.06469347,9.15083556,20.34602535
0.0148,0.32,0.001,0.7,0.25,260.837,219.813,185.03,90.30906234,9.33360995,22.4081038
0.0148,0.32,0.25,0.7,0.01,274.762,242.936,230.27,98.02951993,8.82845507,10.04062555
0.0148,0.32,0.25,0.7,0.09333333,265.703,229.192,205.63,93.41822347,9.056740102,16.11954437
0.0148,0.32,0.25,0.7,0.17666667,259.43,220.642,191.12,90.50426813,9.180725386,19.49053067
0.0148,0.32,0.25,0.7,0.25,255.272,214.923,181.94,88.56418665,9.383058166,21.53037134
0.0148,0.32,0.5,0.7,0.01,272.839,241.27,229.34,97.44795563,8.862488113,9.667445248
0.0148,0.32,0.5,0.7,0.09333333,261.916,226.141,203.34,92.30446365,8.930034465,15.69064974
0.0148,0.32,0.5,0.7,0.17666667,254.887,216.54,188.47,89.05237623,9.264781327,18.78963053
0.0148,0.32,0.5,0.7,0.25,250.008,210.253,178.98,86.89585776,9.451399302,20.69166581
0.0148,0.32,0.75,0.7,0.01,271.151,239.694,228.43,96.90789601,8.937346358,9.342609087
0.0148,0.32,0.75,0.7,0.09333333,258.474,223.186,201.41,91.24906004,8.930015208,15.16344551
0.0148,0.32,0.75,0.7,0.17666667,250.419,212.844,185.93,87.70333711,9.182863848,18.17612081
0.0148,0.32,0.75,0.7,0.25,245.139,205.74,176.16,85.2979265,9.605128928,19.89001619
0.0148,0.32,0.999,0.7,0.01,269.535,238.131,227.57,96.37726443,9.037327946,9.010350096
0.0148,0.32,0.999,0.7,0.09333333,255.491,220.43,199.45,90.27866252,8.990597598,14.77891456
0.0148,0.32,0.999,0.7,0.17666667,246.472,209.442,183.4,86.46874982,9.14234706,17.72825697
0.0148,0.32,0.999,0.7,0.25,240.416,201.566,173.27,83.78861847,9.628807322,19.25565052
0.0487,0.003,0.001,0.7,0.01,263.889,228.92,209.68,93.28201701,9.113144555,13.80196837
0.0487,0.003,0.001,0.7,0.09333333,245.039,200.653,159.38,83.72809603,10.12175775,26.56030198
0.0487,0.003,0.001,0.7,0.17666667,233.463,184.098,133.73,78.13083767,11.42340382,32.35430598
0.0487,0.003,0.001,0.7,0.25,225.235,172.934,120.23,74.35994521,12.68268518,34.38142871
0.0487,0.003,0.25,0.7,0.01,260.152,225.79,208,92.1668039,9.13652579,13.04779142
0.0487,0.003,0.25,0.7,0.09333333,237.529,194.653,156.11,81.49572721,9.980182568,25.13169695
0.0487,0.003,0.25,0.7,0.17666667,223.678,176.143,129.83,75.14380467,11.33172006,30.30518448
0.0487,0.003,0.25,0.7,0.25,213.938,164.321,115.77,71.01288614,12.2730623,32.18663894
0.0487,0.003,0.5,0.7,0.01,256.456,223.069,206.8,91.16233055,9.034149347,12.2045125
0.0487,0.003,0.5,0.7,0.09333333,230.892,188.717,152.63,79.34550325,10.11933457,23.94469119
0.0487,0.003,0.5,0.7,0.17666667,214.705,169.023,125.89,72.42078421,11.12014301,28.63714081
0.0487,0.003,0.5,0.7,0.25,203.88,156.252,111.57,67.90300766,12.10316241,30.19086651
0.0487,0.003,0.75,0.7,0.01,253.495,220.694,205.76,90.30693314,9.043664546,11.49422721
0.0487,0.003,0.75,0.7,0.09333333,224.455,183.563,148.99,77.39260913,9.9044273,23.12296814
0.0487,0.003,0.75,0.7,0.17666667,207.097,162.682,122.32,70.01607247,11.07986506,27.22908916
0.0487,0.003,0.75,0.7,0.25,195.053,149.011,107.94,65.11100072,12.05035493,28.33528032
0.0487,0.003,0.999,0.7,0.01,250.555,218.686,204.51,89.53637894,8.840060685,11.01887774
0.0487,0.003,0.999,0.7,0.09333333,218.835,178.55,145.91,75.55377676,10.00241078,22.17628843
0.0487,0.003,0.999,0.7,0.17666667,200.113,156.73,118.8,67.7564197,11.08891563,26.01066817
0.0487,0.003,0.999,0.7,0.25,186.794,142.541,104.89,62.56037777,11.87538387,26.49178895
0.0487,0.0175,0.001,0.7,0.01,263.904,228.943,209.68,93.28886567,9.10728095,13.81033579
0.0487,0.0175,0.001,0.7,0.09333333,245.067,200.659,159.38,83.73225295,10.1298832,26.56426358
0.0487,0.0175,0.001,0.7,0.17666667,233.501,184.064,133.75,78.12661833,11.45865735,32.33817938
0.0487,0.0175,0.001,0.7,0.25,225.319,172.95,120.33,74.37412162,12.71730906,34.35003661
0.0487,0.0175,0.25,0.7,0.01,260.156,225.8,208.01,92.16989932,9.133988814,13.04726776
0.0487,0.0175,0.25,0.7,0.09333333,237.549,194.675,156.14,81.50334452,9.979704118,25.12861845
0.0487,0.0175,0.25,0.7,0.17666667,223.718,176.134,129.96,75.14791432,11.36618797,30.24221946
0.0487,0.0175,0.25,0.7,0.25,213.959,164.353,115.82,71.02372829,12.2696227,32.17203864
0.0487,0.0175,0.5,0.7,0.01,256.468,223.058,206.79,91.16039756,9.043237644,12.20603024
0.0487,0.0175,0.5,0.7,0.09333333,230.863,188.765,152.61,79.35407587,10.08009188,23.96824089
